,year,filiere,banque,ecole,inscrits_nb,inscrits_filles,inscrits_cinq_demi,admissibles_nb,admissibles_filles,admissibles_cinq_demi,classes_nb,classes_filles,classes_cinq_demi,rg_dernier_appele,integres_nb,integres_filles,integres_cinq_demi,places,appeles,integres_rg_median,integres_rg_moyen,longitude,latitude,postalcode
0,2011,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,795.0,257.0,66.0,19.0,257.0,,,,1.9350125,48.846946,78
1,2012,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,780.0,257.0,64.0,25.0,257.0,,,,1.9350125,48.846946,78
2,2013,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,822.0,259.0,65.0,24.0,257.0,,,,1.9350125,48.846946,78
3,2014,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,757.0,251.0,62.0,16.0,250.0,,,,1.9350125,48.846946,78
4,2015,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,789.0,250.0,62.0,16.0,250.0,,,,1.9350125,48.846946,78
5,2016,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,779.0,253.0,66.8,13.4,253.0,,,,1.9350125,48.846946,78
6,2020,tb,Concours  A TB BIO,AgroParisTech Grignon,,,,,,,,,,,10.0,50.0,0.0,10.0,,13.0,14.0,1.9350125,48.846946,78
7,2020,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,,258.0,65.5,13.6,258.0,,468.0,467.0,1.9350125,48.846946,78
8,2019,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,,258.0,61.2,15.5,258.0,,426.0,438.0,1.9350125,48.846946,78
9,2019,tb,Concours A TB BIO,AgroParisTech Grignon,,,,,,,,,,,10.0,30.0,10.0,10.0,,13.0,14.0,1.9350125,48.846946,78
10,2010,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,811.0,258.0,69.0,21.0,257,,,,1.9350125,48.846946,78
11,2017,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,816.0,250.0,61.6,15.2,250,,,,1.9350125,48.846946,78
12,2018,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,,256.0,67.6,15.2,256,,504.0,471.0,1.9350125,48.846946,78
13,2021,bcpst,A BIO,AgroParisTech Grignon,,,,,,,,,,,260.0,63.1,13.1,260,,477.0,470.0,1.9350125,48.846946,78
14,2021,tb,Concours  A TB BIO,AgroParisTech Grignon,,,,,,,,,,,10.0,20.0,10.0,10,,17.0,16.0,1.9350125,48.846946,78
15,2011,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,1020.0,95.0,71.0,30.0,97.0,,,,3.854877,43.61728160000001,34
16,2012,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,969.0,97.0,75.0,38.0,97.0,,,,3.854877,43.61728160000001,34
17,2013,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,991.0,99.0,66.0,41.0,97.0,,,,3.854877,43.61728160000001,34
18,2014,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,953.0,99.0,69.0,36.0,99.0,,,,3.854877,43.61728160000001,34
19,2015,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,1098.0,97.0,60.0,28.0,97.0,,,,3.854877,43.61728160000001,34
20,2016,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,1041.0,97.0,72.2,27.8,97.0,,,,3.854877,43.61728160000001,34
21,2020,tb,Concours  A TB BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,5.0,60.0,60.0,5.0,,46.0,44.0,3.854877,43.61728160000001,34
22,2020,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,99.0,67.7,35.4,99.0,,1004.0,956.0,3.854877,43.61728160000001,34
23,2019,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,99.0,74.7,29.3,99.0,,962.0,906.0,3.854877,43.61728160000001,34
24,2019,tb,Concours A TB BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,5.0,60.0,40.0,5.0,,30.0,34.0,3.854877,43.61728160000001,34
25,2010,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,943.0,97.0,68.0,39.0,97,,,,3.854877,43.61728160000001,34
26,2017,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,1069.0,101.0,67.3,35.6,97,,,,3.854877,43.61728160000001,34
27,2018,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,98.0,76.5,33.7,98,,950.0,930.0,3.854877,43.61728160000001,34
28,2021,bcpst,A BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,100.0,75.0,24.0,99,,994.0,970.0,3.854877,43.61728160000001,34
29,2021,tb,Concours  A TB BIO,Montpellier Sup Agro (cursus agronome),,,,,,,,,,,5.0,80.0,40.0,5,,53.0,54.0,3.854877,43.61728160000001,34
