,ecole,longitude,latitude,postalcode
0,AgroParisTech Grignon,1.9350125,48.846946,78850
1,Montpellier Sup Agro (cursus agronome),3.854877,43.61728160000001,34060
2,Montpellier Sup Agro (cursus SAADS),3.854877,43.61728160000001,34060
3,Agrocampus Ouest (cursus ingénieur agronome),-1.7102321,48.1264244,35000
4,ENSAT Toulouse,1.493193,43.53505699999999,31326
5,ENSAIA Nancy,6.147378,48.651838,54505
6,Agrocampus Ouest (cursus ingénieur en horticulture et en paysage),-1.7102321,48.1264244,35000
7,Agrosup Dijon (Cursus Agroalimentaire),5.04148,47.322047,21000
8,ENITAB Bordeaux (Fonctionnaire),-0.6063803,44.7931179,33170
9,ENITAB Bordeaux (Civil),-0.6063803,44.7931179,33170
10,VetAgro Sup Clermont-Ferrand (Fonctionnaire),3.1762589,45.7758304,63370
11,VetAgro Sup Clermont-Ferrand (Civil),3.1762589,45.7758304,63370
12,Oniris Nantes (cursus agroalimentaire),-1.5227746,47.2891843,44300
13,Agrosup Dijon (Cursus Agronome) civil,5.04148,47.322047,21000
14,Agrosup Dijon (Cursus agronome) fonctionnaire,5.04148,47.322047,21000
15,Concours commun A BIO,,,
16,ENV Alfort,2.4240293,48.81274190000001,94700
17,VetAgro Sup Lyon,4.7072663,45.7921752,69280
18,Oniris Nantes (cursus vétérinaire),-1.5227746,47.2891843,44300
19,ENV Toulouse,1.3841702,43.6019953,31300
20,Concours commun A ENV,1.3841702,43.6019953,31300
21,ESPCI ParisTech,2.3475905,48.8412746,75005
22,Chimie ParisTech,2.3435537,48.84421,75005
23,ENSC Montpellier,3.8654683,43.6347823,34090
24,ENSC Lille,3.146917,50.6095325,59652
25,ENSCBP Bordeaux-Biologie-Alimentation,-0.6111213,44.8011924,33607
26,Concours commun A PC BIO,,,
27,ENS Ulm,2.3440392,48.8418322,75005
28,ENS Lyon,4.8334497,45.7332787,69342
29,ENS Cachan,2.1649417,48.7123564,91190
30,ENGEES Strasbourg Civil (étudiant),7.758007800000001,48.5849696,67070
31,ENGEES Strasbourg Fonctionnaire,7.758007800000001,48.5849696,67070
32,concours ENGEES G2E-BCPST,7.758007800000001,48.5849696,67070
33,ENSG Nancy,6.1492879,48.6534173,54518
34,ENSIL Limoges EE,1.2952454,45.86102899999999,87280
35,ENTPE Vaulx en Velin Civil,4.9223494,45.77860829999999,69120
36,ENTPE Vaulx en Velin Fonctionnaire,4.9223494,45.77860829999999,69120
37,EOST Strasbourg,7.7629271,48.5796176,67084
38,ENSI Poitiers Eau et Genie Civil,0.3832459,46.5688039,86022
39,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Paris-UPMC",2.3577864,48.8462524,75005
40,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Orléans",1.9390229,47.8440593,45100
41,ENGEES Strasbourg Civil (apprenti),7.758007800000001,48.5849696,67070
42,ENSTIB Epinal,6.4653358,48.194249,88000
43,ESBS Strasbourg,7.7385873,48.5258824,67400
44,ESIL Marseille Biotech,5.4440806,43.2332509,13009
45,ESIX Normandie-Génie Agroalimentaire,-1.6442149,49.6343438,50130
46,ESMISAB Brest,-4.567785199999999,48.3606351,29280
47,ENSTBB Bordeaux,-0.6070843,44.8226969,33000
48,ISBS,2.4539208,48.7951184,94000
49,ISIFC Besançon,5.996239999999999,47.2505339,25000
50,"Biotechnologies, Agroalimentaire, Prévention, Ingénierie pour la santé-Polytech Clermont-Ferrand",3.1092253,45.7608031,63100
51,"Génie Civil, Bâtiment, Géosciences-Polytech Grenoble",5.752253,45.1846156,38400
52,"Ingénierie pour la santé, Génie biomédical-Polytech Grenoble",5.752253,45.1846156,38400
53,"Biotechnologies, Agroalimentaire, Prévention, Ingénierie pour la santé-Polytech Lille",3.1370078,50.6078394,59655
54,"Aménagement, Eau et Environnement-Polytech Montpellier",3.8625953,43.6327433,34095
55,"Génie biologique, Agroalimentaire, Biotechnologies-Polytech Montpellier",3.8625953,43.6327433,34095
56,"Génie biologique, Agroalimentaire, Biotechnologies-Polytech Nice",7.0717782,43.6155521,06410
57,"Aménagement, Eau et Environnement-Polytech Nice",7.0717782,43.6155521,06410
58,"Génie biologique, Agroalimentaire, Biotechnologies-Polytech Paris-UPMC",2.3577864,48.8462524,75005
59,"Environnement, Aménagement, Génie civil, Développement durable-Polytech Tours",0.6877878,47.3645904,37200
60,Concours commun A ARCH BIO,2.3476575,48.8397733,75005
61,ECOLE POLYTECHNIQUE,2.2112917,48.7142971,91120
62,CENTRALE PARIS,2.1661629,48.709445,91190
63,SUPELEC-Campus Gif,2.1668424,48.71018309999999,91190
64,SUPELEC-Campus Metz,6.220958,49.10323289999999,57070
65,SUPELEC-Campus Rennes,-1.6234012,48.1252316,35510
66,Supélec,2.1661629,48.709445,91190
67,CENTRALE LYON,4.766499899999999,45.7825983,69134
68,Institut d'optique Graduate School (SupOptique),2.2034927,48.71373999999999,91120
69,CENTRALE LILLE,3.1365135,50.6068158,59650
70,CENTRALE NANTES,-1.5495565,47.24833839999999,44300
71,CENTRALE MARSEILLE,5.4371117,43.3424593,13013
72,ENSIIE Evry,2.4322721,48.6267007,91000
73,IFMA Clermont-Ferrand,3.1127728,45.7576185,63170
74,ISMANS Le Mans,0.157249,48.019386,72000
75,ESIX Normandie-Génie et Sûreté des Systèmes Industriels,-1.6442149,49.6343438,50130
76,MINES ParisTech,2.339138,48.8455886,75272
77,MINES de NANCY,6.1702775,48.6729956,54042
78,MINES de SAINT-ETIENNE,4.408427,45.4225457,42100
79,PONTS ParisTech,2.588727,48.840563,77420
