,index,year,filiere,banque,ecole,inscrits_nb,inscrits_filles,inscrits_cinq_demi,admissibles_nb,admissibles_filles,admissibles_cinq_demi,classes_nb,classes_filles,classes_cinq_demi,rg_dernier_appele,integres_nb,integres_filles,integres_cinq_demi,places,appeles,integres_rg_median,integres_rg_moyen
0,6886,2016,tsi,CONCOURS COMMUN MINES-PONTS,Concours Commun Mines Ponts TSI,580.0,6.6,17.4,93.0,4.3,32.3,50.0,2.0,16.0,,15.0,,,18.0,,,
1,6890,2016,tsi,CONCOURS COMMUN ENSAM,ARTS ET MÉTIERS,741.0,7.8,19.7,179.0,5.0,28.5,133.0,5.3,30.1,,38.0,,,50.0,,,
2,6914,2016,tsi,CONCOURS COMMUNS POLYTECHNIQUES,Concours Commun Polytechnique TSI,1073.0,8.7,15.8,478.0,7.1,22.2,348.0,6.3,18.1,,91.0,,,86.0,,,
3,6918,2016,tsi,BANQUE EPREUVES C.C.P,EIL Côte d'Opale Longuenesse-Calais,319.0,8.8,17.9,234.0,6.4,20.1,142.0,7.0,24.6,,11.0,,,15.0,,,
4,6924,2016,tsi,BANQUE EPREUVES C.C.P,ENSAIT Roubaix,350.0,9.7,18.9,232.0,8.2,23.3,77.0,6.5,27.3,,8.0,,,6.0,,,
5,6929,2016,tsi,BANQUE EPREUVES C.C.P,ENSISA Mulhouse TSI,419.0,7.9,17.7,227.0,4.8,20.7,43.0,2.3,32.6,,10.0,,,15.0,,,
6,6941,2016,tsi,BANQUE EPREUVES C.C.P,ESTP Paris,357.0,9.5,17.4,200.0,9.0,21.5,150.0,8.7,21.3,,16.0,,,18.0,,,
7,6945,2016,tsi,BANQUE EPREUVES C.C.P,ISAT Nevers TSI,411.0,7.8,17.3,160.0,6.9,24.4,60.0,8.3,18.3,,3.0,,,11.0,,,
8,6958,2016,tsi,Concours Mines-Télécom,Concours Mines-Télécom,642.0,6.9,19.5,231.0,6.5,22.1,200.0,6.0,22.0,,20.0,,,25.0,,,
9,6964,2016,tsi,Concours Mines-Télécom,Concours Mines Télécom G4 TSI,642.0,6.9,19.5,293.0,6.5,21.8,220.0,5.9,21.4,,16.0,,,17.0,,,
10,6989,2016,tsi,Réseau Polytech,Reseau Polytech,883.0,7.9,16.5,516.0,6.0,18.4,351.0,5.4,18.2,,55.0,,,65.0,,,
11,6993,2016,tsi,EPITA,EPITA / IPSA TSI,128.0,6.2,10.2,75.0,6.7,6.7,31.0,3.2,9.7,,11.0,,,11.0,,,
12,7018,2016,psi,BANQUE CENTRALE-SUPELEC,Cycle International Centrale-Supelec,81.0,30.9,18.5,18.0,11.1,11.1,16.0,12.5,12.5,,3.0,,,16.0,,,
13,7030,2016,psi,CONCOURS COMMUN MINES-PONTS,Concours Commun Mines Ponts PSI,3946.0,20.9,20.3,1150.0,16.6,17.1,1103.0,16.6,16.6,,341.0,,,315.0,,,
14,7073,2016,psi,CONCOURS COMMUNS POLYTECHNIQUES,Concours Commun Polytechnique PSI,5180.0,22.0,20.1,3523.0,20.9,21.9,3059.0,21.9,22.1,,860.0,,,845.0,,,
15,7086,2016,psi,BANQUE EPREUVES C.C.P,ENSISA Mulhouse PSI,968.0,28.0,20.1,704.0,27.8,17.0,188.0,28.7,16.5,,26.0,,,28.0,,,
16,7108,2016,psi,Concours Mines-Télécom,Concours Mines-Télécom,4134.0,21.7,21.2,2123.0,21.1,22.4,2036.0,21.5,22.1,,333.0,,,343.0,,,
17,7114,2016,psi,Concours Mines-Télécom,Concours Mines Télécom G4 PSI,4134.0,21.7,21.2,3037.0,21.2,22.1,2471.0,21.6,21.6,,52.0,,,54.0,,,
18,7121,2016,psi,CONCOURS ESTP,ESTP,1911.0,23.7,25.2,1348.0,24.8,28.6,1238.0,25.0,29.4,,188.0,,,153.0,,,
19,7214,2016,psi,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH,3034.0,24.7,20.8,2256.0,24.5,19.7,1928.0,24.7,21.1,,174.0,,,779.0,,,
20,7222,2016,psi,Autres écoles E3A,EIL Côte d'Opale Longuenesse-Calais,419.0,30.5,21.2,371.0,31.0,20.5,145.0,35.2,23.4,,34.0,,,27.0,,,
21,7227,2016,psi,Autres écoles E3A,ENSAIT Roubaix,510.0,32.4,24.1,332.0,31.9,24.4,76.0,44.7,22.4,,14.0,,,20.0,,,
22,7233,2016,psi,Autres écoles E3A,EPF Sceaux-Troyes-Montpellier,650.0,31.5,17.2,591.0,31.8,16.2,314.0,34.1,20.1,,21.0,,,20.0,,,
23,7246,2016,psi,Autres écoles E3A,ESTACA Paris-Saclay/Laval,1035.0,21.4,21.1,681.0,21.4,23.2,458.0,20.7,26.0,,23.0,,,20.0,,,
24,7252,2016,psi,Autres écoles E3A,INSA Centre Val de Loire,728.0,28.0,22.8,422.0,31.3,16.4,50.0,36.0,20.0,,9.0,,,22.0,,,
25,7272,2016,psi,EPITA,EPITA / IPSA PSI,301.0,24.9,16.3,189.0,22.8,13.8,124.0,20.2,11.3,,22.0,,,19.0,,,
26,7286,2016,bcpst,A BIO,Concours commun A BIO,3065.0,69.8,21.8,2201.0,70.1,26.3,2052.0,70.4,27.1,,976.0,,,1010.0,,,
27,7291,2016,bcpst,A ENV,Concours commun A ENV,2137.0,72.7,27.0,891.0,73.0,37.3,570.0,72.9,38.4,,436.0,,,436.0,,,
28,7298,2016,bcpst,PC BIO,Concours commun A PC BIO,1267.0,69.5,27.0,702.0,69.9,34.0,593.0,70.5,35.6,,17.0,,,32.0,,,
29,7306,2016,bcpst,G2E,concours des écoles des Mines G2E-BCPST,1488.0,67.7,21.2,999.0,68.5,26.3,407.0,64.9,36.1,,9.0,,,11.0,,,
30,7310,2016,bcpst,G2E,concours ENGEES G2E-BCPST,1488.0,67.7,21.2,999.0,68.5,26.3,529.0,65.6,32.3,,30.0,,,29.0,,,
31,7315,2016,bcpst,G2E,concours ENSG Marne La vallée G2E-BCPST,1488.0,67.7,21.2,999.0,68.5,26.3,526.0,65.6,32.9,,7.0,,,5.0,,,
32,7328,2016,bcpst,G2E,concours Polytech G2E-BCPST,1488.0,67.7,21.2,999.0,68.5,26.3,524.0,65.6,33.0,,16.0,,,35.0,,,
33,7350,2016,bcpst,CONCOURS POLYTECH,Concours POLYTECH A BIO,1864.0,71.9,24.4,1309.0,73.9,25.3,1275.0,74.2,25.7,,108.0,,,144.0,,,
34,7359,2016,pt,CENTRALE-SUPELEC,Concours Centrale-Supélec,1473.0,13.8,20.4,492.0,11.2,12.6,483.0,11.4,12.6,,86.0,,,107.0,,,
35,7370,2016,pt,CONCOURS COMMUN MINES-PONTS,Concours Commun Mines-Ponts PT,1230.0,13.5,20.1,190.0,8.9,17.4,161.0,9.3,11.2,,30.0,,,33.0,,,
36,7374,2016,pt,CONCOURS COMMUN ENSAM,ARTS ET MÉTIERS,2361.0,13.0,20.3,1285.0,11.6,25.7,1170.0,12.0,25.9,,553.0,,,561.0,,,
37,7387,2016,pt,Concours Mines-Télécom,Concours Mines-Télécom,1680.0,13.8,23.1,712.0,14.2,26.1,549.0,16.2,28.6,,83.0,,,76.0,,,
38,7394,2016,pt,Concours Mines-Télécom,Concours Mines Télécom G4 PT,1680.0,13.8,23.1,973.0,13.4,26.3,613.0,15.7,28.7,,27.0,,,37.0,,,
39,7426,2016,pt,CONCOURS COMMUNS POLYTECHNIQUES,Concours Commun Polytechnique PT,2323.0,13.0,20.3,1410.0,12.0,25.3,1315.0,12.4,24.6,,177.0,,,179.0,,,
40,7474,2016,pt,CONCOURS POLYTECH,Concours POLYTECH,1861.0,13.4,21.4,1365.0,12.2,22.9,1155.0,12.8,24.9,,126.0,,,169.0,,,
41,7482,2016,pt,AUTRES ECOLES,EIL Côte d'Opale Longuenesse-Calais,270.0,17.4,19.6,239.0,15.9,20.1,82.0,18.3,14.6,,6.0,,,30.0,,,
42,7485,2016,pt,AUTRES ECOLES,ENSAIT Roubaix,364.0,25.0,24.5,227.0,19.8,31.3,60.0,25.0,41.7,,9.0,,,18.0,,,
43,7491,2016,pt,AUTRES ECOLES,ENSISA Mulhouse,347.0,20.5,23.1,247.0,17.4,24.3,71.0,22.5,19.7,,20.0,,,25.0,,,
44,7495,2016,pt,AUTRES ECOLES,EPF Sceaux-Troyes-Montpellier,396.0,18.7,21.7,354.0,17.8,22.9,247.0,15.8,26.7,,14.0,,,20.0,,,
45,7510,2016,pt,AUTRES ECOLES,ESTACA Paris-Saclay/Laval,624.0,11.5,24.7,405.0,10.4,30.6,305.0,10.8,32.8,,25.0,,,21.0,,,
46,7516,2016,pt,AUTRES ECOLES,ESTP Paris,629.0,16.2,27.7,394.0,16.2,35.8,373.0,16.6,36.7,,38.0,,,31.0,,,
47,7522,2016,pt,AUTRES ECOLES,INSA Centre Val de Loire,493.0,14.4,23.3,322.0,11.2,26.4,75.0,13.3,21.3,,17.0,,,20.0,,,
48,7542,2016,pt,EPITA,EPITA / IPSA PT,93.0,14.0,14.0,66.0,13.6,9.1,46.0,8.7,8.7,,6.0,,,12.0,,,
49,7574,2016,mp,BANQUE CENTRALE-SUPELEC,Cycle International Centrale-Supelec,739.0,28.7,15.7,228.0,19.3,16.2,203.0,20.7,17.7,,36.0,,,41.0,,,
50,7587,2016,mp,CONCOURS COMMUN MINES-PONTS,Concours Commun Mines Ponts MP,5508.0,20.5,22.4,1782.0,13.4,24.7,1706.0,13.5,24.9,,524.0,,,515.0,,,
51,7631,2016,mp,CONCOURS COMMUNS POLYTECHNIQUES,Concours Commun Polytechnique MP,6884.0,23.6,22.5,4677.0,22.1,23.4,3822.0,22.0,24.5,,1070.0,,,1134.0,,,
52,7645,2016,mp,BANQUE EPREUVES C.C.P,ENSISA Mulhouse MP,984.0,31.4,24.9,716.0,31.4,21.2,155.0,32.9,27.7,,23.0,,,15.0,,,
53,7667,2016,mp,Concours Mines-Télécom,Concours Mines-Télécom,4736.0,23.2,23.0,2805.0,21.0,24.8,2583.0,21.0,25.1,,500.0,,,485.0,,,
54,7673,2016,mp,Concours Mines-Télécom,Concours Mines Télécom G4 MP,4736.0,23.2,23.0,3889.0,22.2,23.3,3189.0,22.1,24.1,,109.0,,,97.0,,,
55,7679,2016,mp,CONCOURS ESTP,ESTP,1129.0,27.5,29.1,954.0,27.7,29.8,817.0,27.7,31.6,,181.0,,,168.0,,,
56,7772,2016,mp,CONCOURS POLYTECH Inter-Filière,Concours POLYTECH,2825.0,26.1,24.4,1882.0,26.8,22.5,1621.0,26.6,24.7,,242.0,,,779.0,,,
57,7780,2016,mp,Autres écoles E3A,EIL Côte d'Opale Longuenesse-Calais,312.0,33.3,32.1,232.0,34.9,33.2,128.0,39.8,36.7,,19.0,,,25.0,,,
