Code;Libellé;Population municipale (historique depuis 1876) 2018
1001;L'Abergement-Clémenciat;771
1002;L'Abergement-de-Varey;253
1004;Ambérieu-en-Bugey;14204
1005;Ambérieux-en-Dombes;1720
1006;Ambléon;112
1007;Ambronay;2763
1008;Ambutrix;755
1009;Andert-et-Condon;324
1010;Anglefort;1113
1011;Apremont;373
1012;Aranc;329
1013;Arandas;144
1014;Arbent;3356
1015;Arboys en Bugey;647
1016;Arbigny;461
1017;Argis;450
1019;Armix;27
1021;Ars-sur-Formans;1427
1022;Artemare;1244
1023;Asnières-sur-Saône;71
1024;Attignat;3196
1025;Bâgé-Dommartin;4078
1026;Bâgé-le-Châtel;948
1027;Balan;2513
1028;Baneins;610
1029;Beaupont;687
1030;Beauregard;848
1031;Bellignat;3632
1032;Béligneux;3351
1033;Valserhône;16431
1034;Belley;9122
1035;Belleydoux;312
1036;Valromey-sur-Séran;1320
1037;Bénonces;302
1038;Bény;753
1039;Béon;443
1040;Béréziat;491
1041;Bettant;745
1042;Bey;281
1043;Beynost;4684
1044;Billiat;632
1045;Birieux;281
1046;Biziat;884
1047;Blyes;1094
1049;La Boisse;3230
1050;Boissey;351
1051;Bolozon;91
1052;Bouligneux;328
1053;Bourg-en-Bresse;41248
1054;Bourg-Saint-Christophe;1407
1056;Boyeux-Saint-Jérôme;346
1057;Boz;523
1058;Brégnier-Cordon;836
1060;Brénod;500
1061;Brens;1155
1062;Bressolles;931
1063;Brion;531
1064;Briord;1045
1065;Buellas;1797
1066;La Burbanche;83
1067;Ceignes;254
1068;Cerdon;779
1069;Certines;1502
1071;Cessy;4843
1072;Ceyzériat;3177
1073;Ceyzérieu;1003
1074;Chalamont;2529
1075;Chaleins;1361
1076;Chaley;127
1077;Challes-la-Montagne;192
1078;Challex;1518
1079;Champagne-en-Valromey;816
1080;Champdor-Corcelles;643
1081;Champfromier;732
1082;Chanay;627
1083;Chaneins;912
1084;Chanoz-Châtenay;868
1085;La Chapelle-du-Châtelard;394
1087;Charix;281
1088;Charnoz-sur-Ain;904
1089;Château-Gaillard;2195
1090;Châtenay;348
1092;Châtillon-la-Palud;1594
1093;Châtillon-sur-Chalaronne;4881
1094;Chavannes-sur-Reyssouze;755
1095;Nivigne et Suran;818
1096;Chaveyriat;1011
1098;Chazey-Bons;1144
1099;Chazey-sur-Ain;1542
1100;Cheignieu-la-Balme;133
1101;Chevillard;151
1102;Chevroux;947
1103;Chevry;1980
1104;Chézery-Forens;463
1105;Civrieux;1755
1106;Cize;176
1107;Cleyzieu;135
1108;Coligny;1178
1109;Collonges;2222
1110;Colomieu;148
1111;Conand;128
1112;Condamine;432
1113;Condeissiat;820
1114;Confort;657
1115;Confrançon;1337
1116;Contrevoz;499
1117;Conzieu;149
1118;Corbonod;1270
1121;Corlier;116
1123;Cormoranche-sur-Saône;1154
1124;Cormoz;677
1125;Corveissiat;616
1127;Courmangoux;508
1128;Courtes;309
1129;Crans;278
1130;Bresse Vallons;2307
1133;Cressin-Rochefort;393
1134;Crottet;1739
1135;Crozet;2149
1136;Cruzilles-lès-Mépillat;880
1138;Culoz;3020
1139;Curciat-Dongalon;442
1140;Curtafond;771
1141;Cuzieu;449
1142;Dagneux;4769
1143;Divonne-les-Bains;9787
1145;Dompierre-sur-Veyle;1169
1146;Dompierre-sur-Chalaronne;435
1147;Domsure;489
1148;Dortan;1854
1149;Douvres;1059
1150;Drom;215
1151;Druillat;1152
1152;Échallon;750
1153;Échenevex;2092
1155;Évosges;144
1156;Faramans;810
1157;Fareins;2213
1158;Farges;1043
1159;Feillens;3328
1160;Ferney-Voltaire;9895
1162;Flaxieu;66
1163;Foissiat;2061
1165;Francheleins;1603
1166;Frans;2422
1167;Garnerans;639
1169;Genouilleux;624
1170;Béard-Géovreissiat;1064
1171;Géovreisset;856
1173;Gex;13093
1174;Giron;180
1175;Gorrevod;809
1177;Grand-Corent;180
1179;Grièges;1879
1180;Grilly;836
1181;Groissiat;1235
1183;Guéreins;1448
1184;Hautecourt-Romanèche;770
1185;Plateau d'Hauteville;4856
