"Area Name","Period","No Of Establishments","Employment","One-Year Employment Gain/Loss (Percent)","Average Weekly Wages","On-Year Weekly Wages Gain/Loss (Percent)","Industry","FIPS","USPS"
Alabama,"2018Q1","125635","1947435","1.0","921","3.1","Total, all industries","01","AL"
Alaska,"2018Q1","21517","311512","-0.4","1073","2.2","Total, all industries","02","AK"
Arizona,"2018Q1","156388","2823545","2.8","1025","3.5","Total, all industries","04","AZ"
Arkansas,"2018Q1","89884","1210017","0.8","877","2.2","Total, all industries","05","AR"
California,"2018Q1","1528606","17135430","2.0","1350","4.2","Total, all industries","06","CA"
Colorado,"2018Q1","202694","2639715","2.5","1175","3.4","Total, all industries","08","CO"
Connecticut,"2018Q1","119724","1651310","0.0","1453","2.8","Total, all industries","09","CT"
Delaware,"2018Q1","32298","438464","1.1","1200","1.2","Total, all industries","10","DE"
District Of Columbia,"2018Q1","39383","769705","1.2","1917","1.9","Total, all industries","11","DC"
Florida,"2018Q1","680258","8714400","2.2","988","4.1","Total, all industries","12","FL"
Georgia,"2018Q1","276973","4396446","2.0","1093","2.1","Total, all industries","13","GA"
Hawaii,"2018Q1","41446","660572","0.7","973","2.2","Total, all industries","15","HI"
Idaho,"2018Q1","61434","713080","3.5","809","4.3","Total, all industries","16","ID"
Illinois,"2018Q1","364283","5905137","0.9","1241","3.9","Total, all industries","17","IL"
Indiana,"2018Q1","167173","3021554","1.3","954","3.9","Total, all industries","18","IN"
Iowa,"2018Q1","102370","1525225","0.5","921","2.4","Total, all industries","19","IA"
Kansas,"2018Q1","88026","1371369","0.3","911","2.6","Total, all industries","20","KS"
Kentucky,"2018Q1","123710","1871541","0.4","900","2.4","Total, all industries","21","KY"
Louisiana,"2018Q1","130343","1919684","0.8","931","2.9","Total, all industries","22","LA"
Maine,"2018Q1","52915","592480","0.9","891","3.6","Total, all industries","23","ME"
Maryland,"2018Q1","172834","2646433","0.9","1208","3.2","Total, all industries","24","MD"
Massachusetts,"2018Q1","254774","3518931","1.4","1508","5.5","Total, all industries","25","MA"
Michigan,"2018Q1","245143","4282945","1.3","1077","3.3","Total, all industries","26","MI"
Minnesota,"2018Q1","171912","2825976","0.7","1176","2.2","Total, all industries","27","MN"
Mississippi,"2018Q1","73040","1125530","0.1","765","2.1","Total, all industries","28","MS"
Missouri,"2018Q1","195117","2773158","0.4","961","3.2","Total, all industries","29","MO"
Montana,"2018Q1","48550","454806","0.9","819","2.4","Total, all industries","30","MT"
Nebraska,"2018Q1","71811","965136","0.3","897","3.5","Total, all industries","31","NE"
Nevada,"2018Q1","79390","1351355","3.0","977","4.8","Total, all industries","32","NV"
New Hampshire,"2018Q1","51634","648478","0.8","1121","4.8","Total, all industries","33","NH"
New Jersey,"2018Q1","264363","3987210","1.0","1375","3.2","Total, all industries","34","NJ"
New Mexico,"2018Q1","59389","814913","1.2","862","2.9","Total, all industries","35","NM"
New York,"2018Q1","632640","9318228","1.8","1597","3.4","Total, all industries","36","NY"
North Carolina,"2018Q1","280035","4372936","1.9","1021","2.9","Total, all industries","37","NC"
North Dakota,"2018Q1","31593","408303","0.6","988","3.7","Total, all industries","38","ND"
Ohio,"2018Q1","296946","5326416","0.9","1005","2.9","Total, all industries","39","OH"
Oklahoma,"2018Q1","110097","1599587","1.8","914","3.5","Total, all industries","40","OK"
Oregon,"2018Q1","151229","1897371","2.2","1026","4.3","Total, all industries","41","OR"
Pennsylvania,"2018Q1","354820","5788455","1.4","1115","3.4","Total, all industries","42","PA"
Rhode Island,"2018Q1","37619","470886","1.3","1084","3.0","Total, all industries","44","RI"
South Carolina,"2018Q1","129218","2067848","2.2","875","1.5","Total, all industries","45","SC"
South Dakota,"2018Q1","33474","417484","1.0","842","2.8","Total, all industries","46","SD"
Tennessee,"2018Q1","159466","2946537","1.5","977","3.4","Total, all industries","47","TN"
Texas,"2018Q1","689069","12189847","2.1","1168","3.9","Total, all industries","48","TX"
Utah,"2018Q1","100675","1458207","3.3","949","4.9","Total, all industries","49","UT"
Vermont,"2018Q1","25445","307834","0.6","916","3.0","Total, all industries","50","VT"
Virginia,"2018Q1","274803","3852074","1.5","1162","3.0","Total, all industries","51","VA"
Washington,"2018Q1","246333","3311706","2.6","1304","7.5","Total, all industries","53","WA"
West Virginia,"2018Q1","50869","685128","0.6","868","3.6","Total, all industries","54","WV"
Wisconsin,"2018Q1","172585","2835502","1.1","967","3.6","Total, all industries","55","WI"
Wyoming,"2018Q1","26166","264077","0.5","914","3.9","Total, all industries","56","WY"
Puerto Rico,"2018Q1","44681","857330","-3.7","565","7.4","Total, all industries","72","PR"
Virgin Islands,"2018Q1","3413","33374","-15.3","976","25.3","Total, all industries","78","VI"
 
