IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,GEO,Georgia,Year,2016,true,,,,,,,,,,SA_0000001831_GEO,Data source,,10.1,,,,,,10.1,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,HRV,Croatia,Year,2016,true,,,,,,,,,,SA_0000001831_HRV,Data source,,10.17,,,,,,10.17,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,SRB,Serbia,Year,2016,true,,,,,,,,,,SA_0000001831_SRB,Data source,,10.87,,,,,,10.87,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AMR,Americas,Country,MEX,Mexico,Year,2016,true,,,,,,,,,,SA_0000001831_MEX,Data source,,10.96,,,,,,10.96,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,POL,Poland,Year,2016,true,,,,,,,,,,SA_0000001831_POL,Data source,,11.38,,,,,,11.38,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,MLT,Malta,Year,2016,true,,,,,,,,,,SA_0000001831_MLT,Data source,,11.54,,,,,,11.54,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AFR,Africa,Country,ZAF,South Africa,Year,2016,true,,,,,,,,,,SA_0000001831_ZAF,Data source,,11.58,,,,,,11.58,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AMR,Americas,Country,PER,Peru,Year,2016,true,,,,,,,,,,SA_0000001831_PER,Data source,,11.61,,,,,,11.61,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AMR,Americas,Country,BRA,Brazil,Year,2016,true,,,,,,,,,,SA_0000001831_BRA,Data source,,11.65,,,,,,11.65,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,WPR,Western Pacific,Country,CHN,China,Year,2016,true,,,,,,,,,,SA_0000001831_CHN,Data source,,11.71,,,,,,11.71,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AFR,Africa,Country,KEN,Kenya,Year,2016,true,,,,,,,,,,SA_0000001831_KEN,Data source,,11.82,,,,,,11.82,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,ESP,Spain,Year,2016,true,,,,,,,,,,SA_0000001831_ESP,Data source,,11.86,,,,,,11.86,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,LUX,Luxembourg,Year,2016,true,,,,,,,,,,SA_0000001831_LUX,Data source,,11.95,,,,,,11.95,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,ITA,Italy,Year,2016,true,,,,,,,,,,SA_0000001831_ITA,Data source,,12.35,,,,,,12.35,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2016,true,,,,,,,,,,SA_0000001831_PRY,Data source,,12.42,,,,,,12.42,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2016,true,,,,,,,,,,SA_0000001831_BGR,Data source,,12.92,,,,,,12.92,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,DEU,Germany,Year,2016,true,,,,,,,,,,SA_0000001831_DEU,Data source,,12.97,,,,,,12.97,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,NLD,Netherlands,Year,2016,true,,,,,,,,,,SA_0000001831_NLD,Data source,,13.06,,,,,,13.06,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2016,true,,,,,,,,,,SA_0000001831_BIH,Data source,,13.23,,,,,,13.23,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,PRT,Portugal,Year,2016,true,,,,,,,,,,SA_0000001831_PRT,Data source,,13.32,,,,,,13.32,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,ROU,Romania,Year,2016,true,,,,,,,,,,SA_0000001831_ROU,Data source,,13.42,,,,,,13.42,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,CYP,Cyprus,Year,2016,true,,,,,,,,,,SA_0000001831_CYP,Data source,,13.43,,,,,,13.43,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2016,true,,,,,,,,,,SA_0000001831_AZE,Data source,,13.44,,,,,,13.44,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,MNE,Montenegro,Year,2016,true,,,,,,,,,,SA_0000001831_MNE,Data source,,13.65,,,,,,13.65,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,MKD,The former Yugoslav Republic of Macedonia,Year,2016,true,,,,,,,,,,SA_0000001831_MKD,Data source,,13.85,,,,,,13.85,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,HUN,Hungary,Year,2016,true,,,,,,,,,,SA_0000001831_HUN,Data source,,13.93,,,,,,13.93,,,EN,2018-10-25T22:00:00.000Z
SA_0000001831,Average price 500 mls Spirits in US$,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,,,,,,,,,,SA_0000001831_UKR,Data source,,13.96,,,,,,13.96,,,EN,2018-10-25T22:00:00.000Z
