Modele,Marque,Energie,Consommation,Rejets CO2,Rejets CO2 Classe
718 BOXSTER SPYDER,PORSCHE,ES,11.1,251.0,G
718 CAYMAN GT4,PORSCHE,ES,11.1,251.0,G
Roma,FERRARI,ES,11.2,255.0,G
Portofino M,FERRARI,ES,11.3,256.0,G
TRANSIT CUSTOM 2.0 EcoBlue (130ch) BVM6,FORD,GO,9.9,260.0,G
ROMEO STELVIO 2.9 V6 (510ch) AT8 Q4,ALFA,ES,11.5,261.0,G
ROMEO STELVIO 2.9 V6 (520ch) AT8 Q4,ALFA,ES,11.5,261.0,G
MC20,MASERATI,ES,11.5,261.0,G
LC 500,LEXUS,ES,11.6,262.0,G
M8 Competition Coupé,BMW,ES,11.3,258.0,G
M8 Competition Coupé,BMW,ES,11.3,258.0,G
M8 Competition Cabriolet,BMW,ES,11.3,258.0,G
M8 Competition Cabriolet,BMW,ES,11.3,258.0,G
M8 Competition Gran Coupé,BMW,ES,11.3,258.0,G
M8 Competition Gran Coupé,BMW,ES,11.3,258.0,G
MUSTANG Fastback 5.0 V8 - BVA,FORD,ES,11.399999999999999,260.5,G
MUSTANG Fastback 5.0 V8 - BVA,FORD,ES,11.399999999999999,260.5,G
MUSTANG Convertible 5.0 V8 - BVA,FORD,ES,11.399999999999999,260.5,G
MUSTANG Convertible 5.0 V8 - BVA,FORD,ES,11.399999999999999,260.5,G
MACAN GTS II,PORSCHE,ES,11.399999999999999,258.0,G
M850i xDrive Coupé,BMW,ES,11.399999999999999,258.5,G
M850i xDrive Cabriolet,BMW,ES,11.399999999999999,258.5,G
M850i xDrive Gran Coupé,BMW,ES,11.399999999999999,258.5,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg court Toit plat,MERCEDES,GO,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit plat,MERCEDES,GO,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit plat,MERCEDES,GO,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg court Toit plat,MERCEDES,SSE,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3190 kg normal Toit surélevé,MERCEDES,GO,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg normal Toit surélevé,MERCEDES,GO,10.2,266.0,G
SPRINTER Combi 311 CDI (114ch) 4x2 PTAC 3500 kg long Toit surélevé,MERCEDES,GO,10.2,266.0,G
Portofino,FERRARI,ES,11.7,267.0,G
ROMEO STELVIO 2.9 V6 (510ch) AT8 Q4,ALFA,ES,11.8,267.0,G
CAYENNE,PORSCHE,ES,11.45,260.0,G
RC F,LEXUS,ES,11.8,268.0,G
MUSTANG Fastback 5.0 V8 - BVM,FORD,ES,11.8,270.0,G
MUSTANG Fastback 5.0 V8 - BVA,FORD,ES,11.600000000000001,264.0,G
MUSTANG Convertible 5.0 V8 - BVA,FORD,ES,11.600000000000001,264.0,G
X7 xDrive40i,BMW,ES,11.600000000000001,264.5,G
GHIBLI S,MASERATI,ES,11.65,264.5,G
GHIBLI,MASERATI,ES,11.65,264.5,G
QUATTROPORTE S,MASERATI,ES,11.65,264.5,G
QUATTROPORTE,MASERATI,ES,11.65,264.5,G
ROVER NOUVEAU RANGE ROVER SWB P530,LAND,ES,11.55,262.0,G
ROVER NOUVEAU RANGE ROVER LWB P530 5PL,LAND,ES,11.55,262.0,G
ROVER NOUVEAU RANGE ROVER LWB P530 7PL,LAND,ES,11.55,262.0,G
Mercedes-Maybach S 580 4MATIC,MERCEDES,EH,11.65,264.5,G
X5 M50i,BMW,ES,11.6,265.0,G
X6 M50i,BMW,ES,11.6,265.0,G
CONTINENTAL GT,BENTLEY,ES,12.1,275.0,G
