Modele,Ventes,Part de marché
Renault Clio IV,123658,5.7000000000000002
Peugeot 208 I,102395,4.7000000000000002
Peugeot 3008 II,84834,3.8999999999999999
Citroën C3 III,77937,3.6000000000000001
Dacia Sandero II,70077,3.2000000000000002
Renault Captur,67396,3.1000000000000001
Peugeot 2008 I,66284,3
Peugeot 308 II,63218,2.8999999999999999
Dacia Duster II,46931,2.2000000000000002
Renault Twingo III,46372,2.1000000000000001
Renault Mégane IV,45434,2.1000000000000001
Citroën C3 Aircross,43799,2
Volkswagen Polo VI,36952,1.7
Toyota Yaris III,36588,1.7
Peugeot 5008 II,31125,1.3999999999999999
Renault Kadjar,27176,1.3
Volkswagen Golf VII,26736,1.2
Opel Corsa V,26689,1.2
Fiat 500 III,25441,1.2
Ford Fiesta VII,25187,1.2
Nissan Qashqai II,23720,1.1000000000000001
Renault Scénic IV,23426,1.1000000000000001
Volkswagen Tiguan II,21539,1
Peugeot 108,20822,1
Toyota C-HR,20203,0.90000000000000002
Citroën C4 Cactus,20159,0.90000000000000002
Renault Grand Scénic IV,17904,0.80000000000000004
Citroën C4 Picasso II,17683,0.80000000000000004
Citroën C1 II,17053,0.80000000000000004
Renault Zoe,17038,0.80000000000000004
