date,ID,lat,long,value
2012-01,ASN00061339,-32.5584,151.8043,0
2012-01,ASN00061350,-32.1714,151.5942,1000
2012-01,ASN00061360,-32.05,150.8528,190
2012-01,ASN00061363,-32.0335,150.8264,360
2012-01,ASN00061366,-33.2815,151.5766,1646
2012-01,ASN00061346,-31.8626,151.4398,1134
2012-01,ASN00061349,-32.5667,151.6083,405
2012-01,ASN00061372,-31.8017,150.925,428
2012-01,ASN00061383,-33.2528,151.3164,1500
2012-01,ASN00061374,-32.2199,150.9193,758
2012-01,ASN00061375,-33.2894,151.2107,1278
2012-01,ASN00061376,-33.0759,151.5382,698
2012-01,ASN00061377,-33.0933,151.6317,630
2012-01,ASN00061381,-33.4036,151.3928,1770
2012-01,ASN00061382,-33.1681,151.2181,1390
2012-01,ASN00061385,-33.0789,151.3403,1920
2012-01,ASN00061387,-33.245,151.5119,972
2012-01,ASN00061392,-31.7416,150.7937,452
2012-01,ASN00061373,-31.9583,150.8567,530
2012-01,ASN00061336,-33.1556,150.6847,1420
2012-01,ASN00061226,-32.936,151.1393,518
2012-01,ASN00061329,-32.8323,151.3085,620
2012-01,ASN00061143,-32.654,151.021,400
2012-01,ASN00061151,-32.2426,151.683,998
2012-01,ASN00061152,-32.9995,151.2908,880
2012-01,ASN00061170,-32.2809,151.7948,1008
2012-01,ASN00061191,-32.6126,150.9761,460
2012-01,ASN00061196,-31.7069,151.2131,644
2012-01,ASN00061201,-33.0259,151.1882,826
2012-01,ASN00061205,-33.0297,151.1401,698
2012-01,ASN00061209,-32.9597,150.675,1020
2012-01,ASN00061334,-33.0488,150.2325,294
2012-01,ASN00061211,-33.3588,150.7058,1125
2012-01,ASN00061217,-33.2904,150.9708,554
2012-01,ASN00061220,-33.2381,151.3003,1298
2012-01,ASN00061250,-32.6296,151.5919,505
2012-01,ASN00061260,-32.7886,151.3377,486
2012-01,ASN00061287,-32.1852,150.1737,788
2012-01,ASN00061288,-32.3322,151.4595,691
2012-01,ASN00061295,-32.8108,151.3396,488
2012-01,ASN00061309,-32.6881,150.9728,656
2012-01,ASN00061327,-32.8248,151.2613,505
2012-01,ASN00061216,-33.4176,151.159,1598
2012-01,ASN00061394,-33.2177,151.1251,923
2012-01,ASN00062099,-32.8366,148.9963,662
2012-01,ASN00061406,-33.0831,151.6511,500
2012-01,ASN00063093,-34.3093,149.9677,938
2012-01,ASN00063113,-33.5497,148.91,896
2012-01,ASN00063114,-33.3439,149.1617,700
2012-01,ASN00063117,-33.6739,149.0471,994
2012-01,ASN00063118,-33.5156,150.4892,1774
2012-01,ASN00063119,-34.2347,149.265,424
2012-01,ASN00063132,-33.3808,150.0818,482
2012-01,ASN00063142,-33.577,149.8591,556
2012-01,ASN00063146,-33.5544,150.0526,605
2012-01,ASN00063214,-33.3561,149.4058,448
2012-01,ASN00063229,-33.6773,148.6115,818
2012-01,ASN00063234,-33.6708,148.8565,1445
2012-01,ASN00063245,-33.6492,149.0759,940
2012-01,ASN00063246,-33.5105,150.3711,1604
2012-01,ASN00063254,-33.3211,149.0828,716
2012-01,ASN00061135,-32.1018,151.2333,830
2012-01,ASN00063271,-34.0417,149.3611,992
2012-01,ASN00063283,-33.7,150.0278,970
2012-01,ASN00063287,-33.4111,149.5861,1390
2012-01,ASN00063081,-33.6956,150.5408,1730
2012-01,ASN00063076,-33.0807,149.6901,450
2012-01,ASN00063073,-33.6896,149.5633,698
2012-01,ASN00063063,-33.6774,149.8374,700
2012-01,ASN00062003,-32.6657,149.1016,774
2012-01,ASN00062009,-31.9963,149.9856,736
2012-01,ASN00062013,-32.3634,149.5329,993
2012-01,ASN00062021,-32.5956,149.5956,552
2012-01,ASN00062032,-32.3592,149.9484,874
2012-01,ASN00062075,-32.4753,149.5151,258
2012-01,ASN00062089,-32.8936,149.3808,760
2012-01,ASN00062093,-32.7236,149.7702,800
2012-01,ASN00062100,-32.7244,150.229,1178
2012-01,ASN00061405,-32.6753,151.6219,576
2012-01,ASN00062101,-32.5628,149.6149,526
2012-01,ASN00063005,-33.4289,149.5559,880
2012-01,ASN00063013,-33.5366,150.4413,2086
2012-01,ASN00063028,-33.6929,150.5291,1266
2012-01,ASN00063029,-33.744,149.1046,1302
2012-01,ASN00063035,-33.0362,149.4146,1045
2012-01,ASN00063036,-33.8199,150.0227,1115
2012-01,ASN00063039,-33.7122,150.3087,2366
2012-01,ASN00063043,-33.5343,150.6338,1574
2012-01,ASN00063061,-33.8222,149.3244,634
2012-01,ASN00062102,-32.5204,150.0817,557
2012-01,ASN00063049,-33.6094,150.0856,752
2012-01,ASN00060021,-32.0512,152.2598,1146
2012-01,ASN00061110,-32.8736,150.7936,450
2012-01,ASN00058222,-29.7847,153.2639,2550
2012-01,ASN00059002,-30.65,152.8486,3757
2012-01,ASN00059006,-30.1619,153.0982,5830
2012-01,ASN00059007,-31.0711,152.7717,1900
2012-01,ASN00059009,-30.2358,153.0163,7568
