,budget,genres,original_language,popularity,release_date,revenue,runtime,status,title,vote_average,vote_count,release_year
0,30000000,"[{'id': 16, 'name': 'Animation'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]",en,21.946943,1995-10-30,373554033.0,81.0,Released,Toy Story,7.7,5415.0,1995
1,65000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10751, 'name': 'Family'}]",en,17.015539,1995-12-15,262797249.0,104.0,Released,Jumanji,6.9,2413.0,1995
3,16000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,3.859495,1995-12-22,81452156.0,127.0,Released,Waiting to Exhale,6.1,34.0,1995
5,60000000,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",en,17.924927,1995-12-15,187436818.0,170.0,Released,Heat,7.7,1886.0,1995
6,58000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",en,6.677277,1995-12-15,0.0,127.0,Released,Sabrina,6.2,141.0,1995
8,35000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]",en,5.23158,1995-12-22,64350171.0,106.0,Released,Sudden Death,5.5,174.0,1995
9,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",en,14.686036,1995-11-16,352194034.0,130.0,Released,GoldenEye,6.6,1194.0,1995
10,62000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]",en,6.318445,1995-11-17,107879496.0,106.0,Released,The American President,6.5,199.0,1995
13,44000000,"[{'id': 36, 'name': 'History'}, {'id': 18, 'name': 'Drama'}]",en,5.092,1995-12-22,13681765.0,192.0,Released,Nixon,7.1,72.0,1995
14,98000000,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",en,7.284477,1995-12-22,10017322.0,119.0,Released,Cutthroat Island,5.7,137.0,1995
