,City,Price To Income Ratio,Gross Rental Yield City Centre,Gross Rental Yield Outside of Centre,Price To Rent Ratio City Centre,Price To Rent Ratio Outside Of City Centre,Mortgage As A Percentage Of Income,Affordability Index
0,"Moscow, Russia",31.65,3.63,4.47,27.57,22.39,-,-
1,"Bucharest, Romania",30.29,5.0,5.16,20.0,19.38,-,-
2,"Kiev (Kyiv), Ukraine",27.84,4.07,3.26,24.6,30.72,515.52,0.19
3,"Riga, Latvia",27.08,3.39,2.24,29.52,44.68,-,-
4,"Vilnius, Lithuania",22.5,2.73,2.35,36.59,42.48,-,-
5,"Beijing, China",22.29,4.18,4.4,23.93,22.73,-,-
6,"Manila, Philippines",21.95,3.58,3.84,27.97,26.05,-,-
7,"Seoul, South Korea",21.29,1.29,1.32,77.27,75.58,168.58,0.59
8,"Hong Kong, Hong Kong",21.19,2.43,3.78,41.1,26.43,-,-
9,"Bangkok, Thailand",19.75,3.81,3.34,26.22,29.95,-,-
10,"Warsaw, Poland",19.1,3.32,2.99,30.09,33.5,-,-
11,"Shanghai, China",18.08,5.88,4.94,17.0,20.24,-,-
12,"Belgrade, Serbia",17.66,3.91,4.8,25.57,20.83,233.30,0.43
13,"Novi Sad, Serbia",17.0,2.6,2.9,38.46,34.43,196.86,0.51
14,"Delhi, India",16.46,4.22,3.81,23.68,26.21,-,-
15,"Paris, France",16.15,2.84,3.64,35.19,27.5,127.92,0.78
16,"Athens, Greece",15.97,2.53,2.14,39.58,46.66,148.60,0.67
17,"Sofia, Bulgaria",15.91,3.97,4.97,25.19,20.1,-,-
18,"Ljubljana, Slovenia",15.2,3.29,3.36,30.36,29.79,-,-
19,"Rome, Italy",15.13,4.01,4.14,24.93,24.14,-,-
20,"Bratislava, Slovakia",15.1,4.13,3.43,24.19,29.13,-,-
21,"Prague, Czech Republic",14.89,3.55,3.53,28.15,28.33,149.44,0.67
22,"London, United Kingdom",14.73,2.13,3.15,46.88,31.76,121.63,0.82
23,"Singapore, Singapore",14.35,4.45,5.69,22.45,17.58,-,-
24,"Banja Luka, Bosnia And Herzegovina",14.17,3.13,3.58,31.91,27.93,164.05,0.61
25,"Tallinn, Estonia",14.08,2.69,2.03,37.18,49.18,141.33,0.71
26,"Budapest, Hungary",13.89,3.69,4.11,27.08,24.33,-,-
27,"Dnipro, Ukraine",13.21,8.0,5.87,12.5,17.05,244.73,0.41
28,"Tel Aviv-Yafo, Israel",12.4,4.0,4.65,25.0,21.52,-,-
29,"Kuala Lumpur, Malaysia",10.53,4.21,4.97,23.77,20.11,-,-
30,"Tokyo, Japan",10.5,2.41,3.52,41.45,28.4,-,-
31,"Jakarta, Indonesia",10.32,8.26,9.0,12.1,11.11,88.70,1.13
32,"Buenos Aires, Argentina",10.04,3.12,3.72,32.1,26.87,-,-
33,"Dubai, United Arab Emirates",9.74,5.01,7.01,19.98,14.27,-,-
34,"Barcelona, Spain",9.32,3.01,2.9,33.19,34.54,-,-
35,"Milan, Italy",9.24,4.05,4.71,24.72,21.23,-,-
36,"Rio de Janeiro, Brazil",9.1,4.46,6.24,22.41,16.03,-,-
37,"Dublin, Ireland",8.25,3.78,3.77,26.43,26.55,76.80,1.30
38,"Helsinki, Finland",8.22,3.11,3.97,32.14,25.21,-,-
39,"Toronto, Canada",8.03,4.14,4.7,24.16,21.26,66.29,1.51
40,"New York, NY, United States",7.88,3.76,4.99,26.57,20.02,61.37,1.63
41,"Geneva, Switzerland",7.87,4.25,4.4,23.55,22.73,-,-
42,"Lisbon, Portugal",7.75,3.39,3.35,29.51,29.85,-,-
43,"Lyon, France",7.4,3.73,5.22,26.79,19.15,58.58,1.71
44,"Oslo, Norway",7.32,3.14,3.26,31.8,30.64,-,-
45,"Rotterdam, Netherlands",7.0,6.97,6.27,14.35,15.96,53.14,1.88
46,"San Francisco, CA, United States",7.0,4.78,5.44,20.91,18.37,55.44,1.80
47,"Lima, Peru",6.52,6.91,6.25,14.47,16.0,-,-
48,"Sydney, Australia",6.52,3.74,4.13,26.76,24.19,-,-
49,"Vienna, Austria",6.36,4.46,4.71,22.4,21.25,49.50,2.02
50,"Stockholm, Sweden",6.33,1.86,2.59,53.7,38.56,-,-
51,"Amsterdam, Netherlands",6.24,6.1,5.21,16.39,19.18,-,-
52,"Manama, Bahrain",5.74,14.4,14.22,6.94,7.03,-,-
53,"Sao Paulo, Brazil",5.4,9.04,7.44,11.07,13.45,-,-
54,"Amman, Jordan",5.36,10.67,12.53,9.38,7.98,59.92,1.67
55,"Istanbul, Turkey",5.35,10.76,9.76,9.29,10.25,-,-
56,"Montreal, Canada",5.29,8.1,8.52,12.35,11.74,41.51,2.41
57,"Guadalajara, Mexico",5.2,8.44,6.33,11.84,15.79,-,-
58,"Zurich, Switzerland",5.09,6.25,5.71,16.0,17.5,-,-
59,"Brussels, Belgium",4.28,7.75,7.0,12.9,14.29,-,-
60,"Santiago, Chile",4.06,10.46,5.93,9.56,16.85,-,-
61,"Nicosia, Cyprus",3.97,4.6,5.08,21.72,19.67,-,-
62,"Copenhagen, Denmark",3.21,9.23,9.85,10.84,10.15,25.42,3.93
63,"Berlin, Germany",2.7,5.81,6.41,17.21,15.59,21.35,4.68
64,"Vadodara, India",0.33,35.83,23.89,2.79,4.19,-,-
