IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0,,,0,,0,0 [0 – 0],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.1,,,0,,0.1,0.1 [0 – 0.1],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.1,,,0.1,,0.1,0.1 [0.1 – 0.1],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.1,,,0.1,,0.1,0.1 [0.1 – 0.1],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.1,,,0.1,,0.2,0.1 [0.1 – 0.2],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.2,,,0.1,,0.2,0.2 [0.1 – 0.2],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.2,,,0.1,,0.2,0.2 [0.1 – 0.2],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.2,,,0.2,,0.3,0.2 [0.2 – 0.3],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.2,,,0.2,,0.3,0.2 [0.2 – 0.3],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.3,,,0.2,,0.4,0.3 [0.2 – 0.4],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.3,,,0.3,,0.4,0.3 [0.3 – 0.4],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.3,,,0.3,,0.4,0.3 [0.3 – 0.4],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.3,,,0.3,,0.4,0.3 [0.3 – 0.4],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,KWT,Kuwait,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.3,,,0.3,,0.5,0.3 [0.3 – 0.5],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.3,,,0.3,,0.5,0.3 [0.3 – 0.5],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,0.4,,0.6,0.5 [0.4 – 0.6],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.5,,,0.4,,0.6,0.5 [0.4 – 0.6],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.5,,,0.4,,0.7,0.5 [0.4 – 0.7],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,0.4,,0.7,0.5 [0.4 – 0.7],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.5,,,0.4,,0.7,0.5 [0.4 – 0.7],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.5,,,0.4,,0.7,0.5 [0.4 – 0.7],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.5,,,0.4,,0.7,0.5 [0.4 – 0.7],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2016,true,Sex,Both sexes,BTSX,,,,,,,,,,0.6,,,0.4,,0.8,0.6 [0.4 – 0.8],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,MAR,Morocco,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.6,,,0.5,,0.8,0.6 [0.5 – 0.8],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.7,,,0.5,,0.8,0.7 [0.5 – 0.8],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2016,true,Sex,Male,MLE,,,,,,,,,,0.7,,,0.5,,0.9,0.7 [0.5 – 0.9],,,EN,2018-10-23T22:00:00.000Z
SA_0000001759,"15-19 years old, current drinkers (%)",numeric,AFR,Africa,Country,DZA,Algeria,Year,2016,true,Sex,Female,FMLE,,,,,,,,,,0.7,,,0.6,,0.9,0.7 [0.6 – 0.9],,,EN,2018-10-23T22:00:00.000Z
