IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,GEO,Georgia,Year,2015,true,,,,,,,,,,SA_0000001789_GEO,Data source,,0.7,,,,,,0.7,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,FIN,Finland,Year,2015,true,,,,,,,,,,SA_0000001789_FIN,Data source,,0.8,,,,,,0.8,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,LVA,Latvia,Year,2015,true,,,,,,,,,,SA_0000001789_LVA,Data source,,10.1,,,,,,10.1,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,IRL,Ireland,Year,2015,true,,,,,,,,,,SA_0000001789_IRL,Data source,,14.6,,,,,,14.6,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,UKR,Ukraine,Year,2015,true,,,,,,,,,,SA_0000001789_UKR,Data source,,15.7,,,,,,15.7,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,BLR,Belarus,Year,2015,true,,,,,,,,,,SA_0000001789_BLR,Data source,,18.2,,,,,,18.2,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2015,true,,,,,,,,,,SA_0000001789_AZE,Data source,,2.3,,,,,,2.3,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,LTU,Lithuania,Year,2015,true,,,,,,,,,,SA_0000001789_LTU,Data source,,26,,,,,,26,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,NOR,Norway,Year,2014,true,,,,,,,,,,SA_0000001789_NOR,Data source,,0.4,,,,,,0.4,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,GEO,Georgia,Year,2014,false,,,,,,,,,,SA_0000001789_GEO,Data source,,0.8,,,,,,0.8,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,FIN,Finland,Year,2014,false,,,,,,,,,,SA_0000001789_FIN,Data source,,0.9,,,,,,0.9,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,SVK,Slovakia,Year,2014,true,,,,,,,,,,SA_0000001789_SVK,Data source,,10.9,,,,,,10.9,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,LVA,Latvia,Year,2014,false,,,,,,,,,,SA_0000001789_LVA,Data source,,11.2,,,,,,11.2,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,IRL,Ireland,Year,2014,false,,,,,,,,,,SA_0000001789_IRL,Data source,,15.2,,,,,,15.2,,,EN,2018-08-29T22:00:00.000Z
SA_0000001789,Alcohol-related crimes (% of all crimes),numeric,EUR,Europe,Country,EST,Estonia,Year,2014,true,,,,,,,,,,SA_0000001789_EST,Data source,,15.8,,,,,,15.8,,,EN,2018-08-29T22:00:00.000Z
