adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/puJKgNcWaGgMk5VHanSSomUTpmw.jpg,"[10751, 14, 16, 10749]",11224,en,Cinderella,"Cinderella has faith her dreams of a better life will come true. With help from her loyal mice friends and a wave of her Fairy Godmother's wand, Cinderella's rags are magically turned into a glorious gown and off she goes to the Royal Ball. But when the clock strikes midnight, the spell is broken, leaving a single glass slipper... the only key to the ultimate fairy-tale ending!",112.714,/4nssBcQUBadCTBjrAkX46mVEKts.jpg,1950-02-22,Cinderella,False,7,5593
False,/p47ihFj4A7EpBjmPHdTj4ipyq1S.jpg,[18],599,en,Sunset Boulevard,A hack screenwriter writes a screenplay for a former silent film star who has faded into Hollywood obscurity.,17.698,/9zM8ECgHL0fz5AJzm5mDamLHwEB.jpg,1950-08-10,Sunset Boulevard,False,8.4,1912
False,/zAL3LOswagN9onjN8DPcNFTqKuD.jpg,[18],705,en,All About Eve,"From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo's Broadway role, becomes a sensation and even causes turmoil in the lives of Margo's director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.",15.744,/6numIZH6uR3NlJgY9m7nGH0jhs.jpg,1950-10-06,All About Eve,False,8.2,1181
False,/szsupRypFOULpqoBr3wMqXPjiPn.jpg,"[18, 53, 80, 9648]",19119,en,Night and the City,"Londoner Harry Fabian is a second-rate con man looking for an angle. After years of putting up with Harry's schemes, his girlfriend, Mary, becomes fed up when he taps her for yet another loan. His latest ploy, promoting an aging Greek wrestler, goes awry when the wrestler dies and everyone points the finger at Harry.",14.22,/2NBmzm8z5fd283eWeECkPrkwta8.jpg,1950-06-15,Night and the City,False,7.6,178
False,/zyO6j74DKMWfp5snWg6Hwo0T3Mz.jpg,"[80, 18, 9648]",548,ja,羅生門,"Brimming with action while incisively examining the nature of truth, ""Rashomon"" is perhaps the finest film ever to investigate the philosophy of justice. Through an ingenious use of camera and flashbacks, Kurosawa reveals the complexities of human nature as four people recount different versions of the story of a man's murder and the rape of his wife.",13.445,/cEg6qpVbKA8cZQE2SDsCjSVqbze.jpg,1950-08-26,Rashomon,False,8.2,1599
False,/7raQ1RNaeIWfcO2bzjO7FDbTf97.jpg,[37],37292,en,Broken Arrow,"Indian scout Tom Jeffords is sent out to stem the war between the Whites and Apaches in the late 1870s. He learns that the Indians kill only to protect themselves, or out of retaliation for white atrocities.",9.103,/1gafYQCpDxtfIj7HYBNs4Z3m4oW.jpg,1950-08-01,Broken Arrow,False,6.7,142
False,/rsBUAHX3dN47TVc3syjNC0QLF3d.jpg,"[80, 18]",16958,en,The Asphalt Jungle,"Recently paroled from prison, legendary burglar ""Doc"" Riedenschneider, with funding from Alonzo Emmerich, a crooked lawyer, gathers a small group of veteran criminals together in the Midwest for a big jewel heist.",11.312,/bGIlKJmXExrDQLi8rUqpjIs5FUK.jpg,1950-05-12,The Asphalt Jungle,False,7.5,342
False,/hlwiErwp7wKYuXbJQF5NxJ9C6PG.jpg,[53],1978,en,Stage Fright,A struggling actress tries to help a friend prove his innocence when he's accused of murdering the husband of a high-society entertainer.,11.04,/vEys21QtIIah9iYZ37W9BjkaB2U.jpg,1950-02-23,Stage Fright,False,6.7,211
False,/ZWohd5zp1XdIVu4rxCQ9zWu42S.jpg,"[12, 10751]",6646,en,Treasure Island,"Enchanted by the idea of locating treasure buried by Captain Flint, Squire Trelawney, Dr. Livesey and Jim Hawkins charter a sailing voyage to a Caribbean island. Unfortunately, a large number of Flint's old pirate crew are aboard the ship, including Long John Silver.",10.281,/cyMTfmyPvqLAzKhyaGsJTdqpWCU.jpg,1950-07-19,Treasure Island,False,6.5,134
False,/eR9S6iMbk4ycV7DcqvVxFp8lNFV.jpg,"[80, 18, 53, 28]",18671,en,Gun Crazy,"Bart Tare is an ex-Army man who has a lifelong fixation with guns, he meets a kindred spirit in sharpshooter Annie Starr and goes to work at a carnival. After upsetting the carnival owner who lusts after Starr, they both get fired. Soon, on Starr's behest, they embark on a crime spree for cash.",10.278,/syV56xlpFCRWxjt5PoBDrG58P9P.jpg,1950-01-20,Gun Crazy,False,7.6,198
False,/kDLXP6vuZ4Zgc8BbNvur6Hc0UmQ.jpg,"[35, 10749, 18]",24481,en,Born Yesterday,"Uncouth, loud-mouth junkyard tycoon Harry Brock descends upon Washington D.C. to buy himself a congressman or two, bringing with him his mistress, ex-showgirl Billie Dawn.",10.192,/hPiQUhnkgp2O9bQz9KhSyOjLvGl.jpg,1950-12-25,Born Yesterday,False,7.2,117
False,/34XGT3fMZYYyaRkDSIMlk2KEjno.jpg,[37],11617,en,Rio Grande,"Lt. Col. Kirby Yorke is posted on the Texas frontier to defend settlers against depredations of marauding Apaches. Col. Yorke is under considerable stress by a serious shortage of troops of his command. Tension is added when Yorke's son (whom he hasn't seen in fifteen years), Trooper Jeff Yorke, is one of 18 recruits sent to the regiment.",9.943,/zYoK2RkBCmyhIV6UUb6EZLqxmZq.jpg,1950-11-15,Rio Grande,False,6.9,226
False,/8csCWg9u2Iygg6lbwPYblHUFtyd.jpg,"[35, 18, 10751]",33839,en,Cheaper by the Dozen,"""Cheaper by the Dozen"", based on the real-life story of the Gilbreth family, follows them from Providence, Rhode Island, to Montclair, New Jersey, and details the amusing anecdotes found in large families.",7.725,/sGj9auC0z18y25NObFbvWLt8gtX.jpg,1950-03-31,Cheaper by the Dozen,False,6.3,58
False,/3Tqpr0WaCe5piWxmCqAEGQELI7z.jpg,"[80, 18, 53]",28433,en,No Way Out,"Robbers Ray Biddle and his brother are shot and taken to the local hospital. There, the two are treated by Dr. Brooks, the hospital's only black doctor. The brothers assault Brooks with racist slurs. And, when his brother ends up dying on the operating table, Ray accuses the doctor of murdering him. Blind with rage, Ray works to turn the white community of the city against Brooks, who finds an unlikely ally in the dead man's widow, Edie.",6.933,/qI87rYk8XoIGN8EtyftxKHS092n.jpg,1950-08-16,No Way Out,False,6.9,65
False,/8alkXDam8EUF6gvVyfowvZJ795T.jpg,[37],17409,en,The Gunfighter,The fastest gun in the West tries to escape his reputation.,9.726,/5696EpyH0tB8DtKvwNGABMRWknX.jpg,1950-06-23,The Gunfighter,False,7.3,116
False,/b4VAgPHGL33OA5QNZCYi0jU5Nma.jpg,"[80, 18]",800,es,Los olvidados,"A group of juvenile delinquents lives a criminal, violent life in the festering slums of Mexico City, among them the young Pedro, whose morality is gradually corrupted and destroyed by the others.",9.293,/3bdfN2gosYSxpHBAXPkAhxkUJFr.jpg,1950-12-09,The Young and the Damned,False,8.1,341
False,/pY8P0lPDGXoLM3s2noYPAhLmbgm.jpg,"[35, 10751, 10749]",20758,en,Father of the Bride,"Proud father Stanley Banks remembers the day his daughter, Kay, got married. Starting when she announces her engagement through to the wedding itself, we learn of all the surprises and disasters along the way.",9.281,/sygyqqXq41SBZiYjY8nuQRAcuUv.jpg,1950-05-18,Father of the Bride,False,7.1,153
False,/ovfJX70VfUTXM2o28lvZQchtynG.jpg,"[10752, 28, 18, 36]",18712,en,Sands of Iwo Jima,"The relationship between Sergeant Stryker and a group of rebellious recruits is made difficult by the Sergeant's tough training tactics. At Tarawa, the leathernecks have a chance to see Stryker in action, and begin to appreciate him.",9.061,/utpy9JLuyhsxpw2E3yExw23f3eS.jpg,1950-01-01,Sands of Iwo Jima,False,6.5,92
False,/k4nWsAlAbzmcEKHcOn7qC4J0dLD.jpg,[37],14551,en,Winchester '73,"Lin McAdam rides into town on the trail of Dutch Henry Brown, only to find himself in a shooting competition against him. McAdam wins the prize, a one-in-a-thousand Winchester rifle, but Dutch steals it and leaves town. McAdam follows, intent on settling his old quarrel, while the rifle keeps changing hands and touching a number of lives.",9.034,/rqRgjWqSmK9oI6duvigPmn49aVG.jpg,1950-07-12,Winchester '73,False,7.4,253
False,/58wyozfcoM7mFiA0soOJfHEA27N.jpg,[18],4173,it,Stromboli (Terra di Dio),"After the end of World War II Karen, a young displaced woman from Lithuania, marries Italian fisherman Antonio to get away from her internment camp. But the life on Antonio's island, Stromboli, threatened by its volcano, is a tough one and Karen cannot get used to it.",8.924,/oscdCQe6W1TorOXAIagkyW9B1fG.jpg,1950-02-15,Stromboli,False,6.9,129
False,/zCtFfgCMsMP831OtTHBJgwu5hYi.jpg,[12],43388,en,King Solomon's Mines,Adventurer Allan Quartermain leads an expedition into uncharted African territory in an attempt to locate an explorer who went missing during his search for the fabled diamond mines of King Solomon.,7.81,/7olDngYhOlWDFewg1mzmLYyavZn.jpg,1950-11-09,King Solomon's Mines,False,6.5,75
False,/q2asqSNZ1RbF63pL4MefmyD2TU5.jpg,"[80, 18, 9648]",18995,en,D.O.A.,"Frank Bigelow is about to die, and he knows it. The accountant has been poisoned and has only 24 hours before the lethal concoction kills him. Determined to find out who his murderer is, Frank, with the help of his assistant and girlfriend, Paula, begins to trace back over his last steps. As he frantically tries to unravel the mystery behind his own impending demise, his sleuthing leads him to a group of crooked businessmen and another murder.",8.337,/22mRDtRQkosT41vWnjHvY0f0b2c.jpg,1950-04-21,D.O.A.,False,6.9,118
False,/pL4EBT2Rm1EuTgyqiMM48elmhfY.jpg,"[35, 14]",11787,en,Harvey,"The story of Elwood P. Dowd who makes friends with a spirit taking the form of a human-sized rabbit named Harvey that only he sees (and a few privileged others on occasion also.) After his sister tries to commit him to a mental institution, a comedy of errors ensues. Elwood and Harvey become the catalysts for a family mending its wounds and for romance blossoming in unexpected places.",8.307,/dgd82hYmpiXDM1G867HqNaWe8wj.jpg,1950-12-04,Harvey,False,7.7,454
False,/sI0ISjxKLbRZwaY5mjUI8SdJeME.jpg,"[12, 18, 10749]",43386,en,Cyrano de Bergerac,"France, 1640: Cyrano, the charismatic swordsman-poet with the absurd nose, hopelessly loves the beauteous Roxane; she, in turn, confesses to Cyrano her love for the handsome but tongue-tied Christian. The chivalrous Cyrano sets up with Christian an innocent deception, with tragic results.",5.451,/g9PTZVlrHXcmKvt6WSMsUxBOoa2.jpg,1950-11-14,Cyrano de Bergerac,False,7.1,41
False,/snugqxUpww4uxK4IWsXCBPmw7Zz.jpg,"[12, 37]",37327,en,Wagon Master,"Two young drifters guide a Mormon wagon train to the San Juan Valley and encounter cutthroats, Indians, geography, and moral challenges on the journey.",8.406,/4ZEhx726msGAITGXZKSPoV05qcO.jpg,1950-04-22,Wagon Master,False,6.8,91
False,/aZCi37ZOJZnECirobe36Fx9r1Yr.jpg,"[18, 14, 10749]",4558,fr,Orphée,"At the Café des Poètes in Paris, a fight breaks out between the poet Orphée and a group of resentful upstarts. A rival poet, Cègeste, is killed, and a mysterious princess insists on taking Orpheus and the body away in her Rolls-Royce. Orphée soon finds himself in the underworld, where the Princess announces that she is, in fact, Death. Orpheus escapes in the car back to the land of the living, only to become obsessed with the car radio.  This film is the central part of Cocteau's Orphic Trilogy, which consists of The Blood of a Poet (1930), Orpheus (1950) and Testament of Orpheus (1960).",7.7,/wcUmMtipWBBx7lpsfpPsUM4Snh1.jpg,1950-09-29,Orpheus,False,7.6,180
False,/mq8WTzKhknEunl9Lb4FoSt2wX5r.jpg,"[12, 18, 36, 10749]",32563,en,The Flame and the Arrow,"Dardo, a Robin Hood-like figure, and his loyal followers use a Roman ruin in Medieval Lombardy as their headquarters as they conduct an insurgency against their Hessian conquerors.",6.378,/7LnakSP6ONj38HTUCyrxiuQdAFa.jpg,1950-07-07,The Flame and the Arrow,False,6.3,61
False,/hS9rKTtgYUBn26QTrLYUh8P07Yg.jpg,"[53, 9648, 18, 10749]",17057,en,In a Lonely Place,An aspiring actress begins to suspect that her temperamental boyfriend is a murderer.,7.011,/mR72XsO7EQu3uH8TeqPxMd9V8mW.jpg,1950-05-17,In a Lonely Place,False,7.6,403
False,/gILgPrQztkmZzikPVXF4am1TLqA.jpg,"[16, 35, 10751, 10402]",52971,en,Rabbit of Seville,"Behind the Hollywood Bowl stage which is playing the opera The Barber of Seville, Bugs Bunny flees into the backstage area with Elmer Fudd in close pursuit. Seeing his opportunity to fight on his terms, Bugs raises the curtain on Elmer, trapping him on stage. As the orchestra begins playing, Bugs comes into play as the barber who is going to make sure that Elmer is going to get a grooming he will never forget.",6.263,/27VEl23uM1aDxR9if2Ncs8IbSmK.jpg,1950-12-16,Rabbit of Seville,False,7.5,133
False,/baa8BwCJblUiVRmCEyo6Sw7yyfS.jpg,"[80, 18]",17221,en,Where the Sidewalk Ends,A police detective's violent nature keeps him from being a good cop.,6.713,/27Q0i6ZjmRnjfvegksunixnLxuG.jpg,1950-07-07,Where the Sidewalk Ends,False,7.2,120
False,/2P2dPScfPA50pI4F69W7OUhGisT.jpg,"[18, 10749]",50030,fr,La Ronde,"An all-knowing interlocutor guides us through a series of affairs in Vienna, 1900. A soldier meets an eager young lady of the evening. Later he has an affair with a young lady, who becomes a maid and does similarly with the young man of the house. The young man seduces a married woman. On and on, spinning on the gay carousel of life.",8.723,/qdIEaJCUFYPQmh5NiroJW654uyP.jpg,1950-09-27,La Ronde,False,7.6,84
False,/8OV2e7SwPyGn1Yz5AvUsY4UUvPu.jpg,"[878, 18, 12]",25392,en,Destination Moon,"Postulates the first manned trip to the moon, happening in the (then) near future, and being funded by a consortium of private backers. Assorted difficulties occur and must be overcome in-flight. Attempted to be realistic, with Robert A. Heinlein providing advice.",6.675,/lueGf86b2UhOh7bMLWNR66dr3BF.jpg,1950-06-27,Destination Moon,False,5.9,61
False,/jPT7kXMeSku4sD7t1aKUT2LvshV.jpg,"[16, 10751, 35]",74914,en,8 Ball Bunny,"Bugs helps a penguin go home via New Orleans, Martinique, the Panama Canal and finally the South Pole. But the penguin's home is in New Jersey.",5.179,/tlZGhKoXywmnVrP39LElPSFrEKR.jpg,1950-07-08,8 Ball Bunny,False,6.9,56
False,/l9gUT9ViOUYeIkZnBRp4Usbo0IZ.jpg,[18],32690,ja,醜聞,A celebrity photograph sparks a court case as a tabloid magazine spins a scandalous yarn over a painter and a famous singer.,7.855,/nIpDB30mVA37o7ezno4vaiYpJ88.jpg,1950-04-30,Scandal,False,7,54
False,/4Od8hhDwKRzMdKcdi1nJz2p7HWw.jpg,"[18, 53, 80]",32078,en,Panic in the Streets,"One night in the New Orleans slums, vicious hoodlum Blackie and his friends kill an illegal immigrant who won too much in a card game. The next morning, Dr. Clint Reed of the Public Health Service confirms the dead man had pneumonic plague. To prevent a catastrophic epidemic, Clint must find and inoculate the killers and their associates, with the reluctant aid of police captain Tom Warren, despite official skepticism, and in total secrecy, lest panic empties the city. Can a doctor turn detective? He has 48 hours to try.",6.233,/1r3YkoQo5FrQbEzO8Y53hPq5xdK.jpg,1950-07-27,Panic in the Streets,False,7,103
