IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,TJK,Tajikistan,Year,2016,true,,,,,,,,,,SA_0000001829_TJK,Data source,,0.35,,,,,,0.35,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2016,true,,,,,,,,,,SA_0000001829_BTN,Data source,,0.43,,,,,,0.43,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,BDI,Burundi,Year,2016,true,,,,,,,,,,SA_0000001829_BDI,Data source,,0.43,,,,,,0.43,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,MDG,Madagascar,Year,2016,true,,,,,,,,,,SA_0000001829_MDG,Data source,,0.44,,,,,,0.44,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,SEAR,South-East Asia,Country,MMR,Myanmar,Year,2016,true,,,,,,,,,,SA_0000001829_MMR,Data source,,0.44,,,,,,0.44,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2016,true,,,,,,,,,,SA_0000001829_PRK,Data source,,0.45,,,,,,0.45,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,RWA,Rwanda,Year,2016,true,,,,,,,,,,SA_0000001829_RWA,Data source,,0.45,,,,,,0.45,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,ETH,Ethiopia,Year,2016,true,,,,,,,,,,SA_0000001829_ETH,Data source,,0.5,,,,,,0.5,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,COD,Democratic Republic of the Congo,Year,2016,true,,,,,,,,,,SA_0000001829_COD,Data source,,0.51,,,,,,0.51,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,PAN,Panama,Year,2016,true,,,,,,,,,,SA_0000001829_PAN,Data source,,0.52,,,,,,0.52,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2016,true,,,,,,,,,,SA_0000001829_VNM,Data source,,0.53,,,,,,0.53,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,KAZ,Kazakhstan,Year,2016,true,,,,,,,,,,SA_0000001829_KAZ,Data source,,0.56,,,,,,0.56,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),Year,2016,true,,,,,,,,,,SA_0000001829_BOL,Data source,,0.58,,,,,,0.58,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,NIC,Nicaragua,Year,2016,true,,,,,,,,,,SA_0000001829_NIC,Data source,,0.58,,,,,,0.58,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,WPR,Western Pacific,Country,PHL,Philippines,Year,2016,true,,,,,,,,,,SA_0000001829_PHL,Data source,,0.58,,,,,,0.58,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,UKR,Ukraine,Year,2016,true,,,,,,,,,,SA_0000001829_UKR,Data source,,0.58,,,,,,0.58,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,BFA,Burkina Faso,Year,2016,true,,,,,,,,,,SA_0000001829_BFA,Data source,,0.6,,,,,,0.6,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,HND,Honduras,Year,2016,true,,,,,,,,,,SA_0000001829_HND,Data source,,0.61,,,,,,0.61,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,WPR,Western Pacific,Country,PNG,Papua New Guinea,Year,2016,true,,,,,,,,,,SA_0000001829_PNG,Data source,,0.64,,,,,,0.64,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,MDA,Republic of Moldova,Year,2016,true,,,,,,,,,,SA_0000001829_MDA,Data source,,0.67,,,,,,0.67,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,COL,Colombia,Year,2016,true,,,,,,,,,,SA_0000001829_COL,Data source,,0.69,,,,,,0.69,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,MOZ,Mozambique,Year,2016,true,,,,,,,,,,SA_0000001829_MOZ,Data source,,0.69,,,,,,0.69,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,ALB,Albania,Year,2016,true,,,,,,,,,,SA_0000001829_ALB,Data source,,0.71,,,,,,0.71,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,BLR,Belarus,Year,2016,true,,,,,,,,,,SA_0000001829_BLR,Data source,,0.71,,,,,,0.71,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,WPR,Western Pacific,Country,KHM,Cambodia,Year,2016,true,,,,,,,,,,SA_0000001829_KHM,Data source,,0.71,,,,,,0.71,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,PRY,Paraguay,Year,2016,true,,,,,,,,,,SA_0000001829_PRY,Data source,,0.71,,,,,,0.71,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,ECU,Ecuador,Year,2016,true,,,,,,,,,,SA_0000001829_ECU,Data source,,0.73,,,,,,0.73,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,SLV,El Salvador,Year,2016,true,,,,,,,,,,SA_0000001829_SLV,Data source,,0.73,,,,,,0.73,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AMR,Americas,Country,HTI,Haiti,Year,2016,true,,,,,,,,,,SA_0000001829_HTI,Data source,,0.79,,,,,,0.79,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,AFR,Africa,Country,LSO,Lesotho,Year,2016,true,,,,,,,,,,SA_0000001829_LSO,Data source,,0.83,,,,,,0.83,,,EN,2018-10-25T22:00:00.000Z
SA_0000001829,Average price 500 mls Beer in US$,numeric,EUR,Europe,Country,CZE,Czechia,Year,2016,true,,,,,,,,,,SA_0000001829_CZE,Data source,,0.86,,,,,,0.86,,,EN,2018-10-25T22:00:00.000Z
